ico,adress,fraud,start_date,market_start_date,diff_days,market_days,size_ok,price,market_cap,o_concur,biggest_holder,exchange,contract,date_analysis,code,site,social_media
NUCLEOUSVISION,0x809826cceab68c387726af962713b64cb5cb3cca,1,2018-02-25,2018-02-26,1,929,x,,,,4,24,25,2018-08-25,x,x,
OCEANPROTOCOL,0x985dd3d42de1e256d09e1c10f112bccb8015ad41,0,2019-04-23,2019-04-26,3,505,,,93.0,x,3,4,26,2019-10-23,,,
ORBS,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,1,2018-05-31,2019-03-28,301,534,x,,,,3,0,50,2019-09-24,x,x,x
ORIGINPROTOCOL,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0,2018-10-01,2019-05-10,221,491,,,227.0,,0,6,84,2019-11-06,,,
ORIGINTRAIL,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,0,2018-01-24,2018-01-24,0,962,,,180.0,x,4,4,20,2018-07-23,,,
OYSTER,0x8542325b72c6d9fc0ad2ca965a78435413a915a0,1,2018-04-13,2018-04-20,7,876,x,,,,14,11,7,2018-10-17,x,,
OYSTERPEARL,0x1844b21593262668b7248d0f57a220caaba46ab9,1,2017-10-20,2017-11-14,25,1033,x,x,,x,24,9,4,2018-05-13,x,,
OZTGTOKEN,0xa5a6d719db51513eccce9e150a4e9979e0062c5b,1,2018-11-06,2018-12-01,25,651,x,x,,,16,0,18,2019-05-30,x,x,x
PARKGENE,0x6dd4e4aad29a40edd6a409b9c1625186c9855b4d,1,2018-01-16,2018-04-16,90,880,x,,,,43,0,1,2018-10-13,x,x,
PCHAIN,0xb9bb08ab7e9fa0a1356bd4a39ec0ca267e03b0b3,1,2018-05-24,2018-05-28,4,838,x,,,,29,0,0,2018-11-24,x,x,x
PERLIN,0xb5a73f5fc8bbdbce59bfd01ca8d35062e0dad801,0,2019-08-24,2019-08-26,2,383,,,212.0,,1,16,62,2020-02-22,,,
PINCOIN,0xc8a8d2a81cc86b95beb04e5a320d7e53f3c627dd,1,2017-12-10,2017-12-31,21,986,x,x,,x,96,0,0,2018-06-29,x,,
PKGTOKEN,0x02f2d4a04e6e01ace88bd2cd632875543b2ef577,1,2018-04-25,2018-08-04,101,770,x,x,,,5,7,16,2019-01-31,x,x,
PLANETMOBILETOKEN,0x538b348a2c5fc8cabf90718e53dd5404fc78c223,1,2018-06-14,2018-07-30,46,775,x,x,,x,0,0,77,2019-01-26,,,
PLAY2LIVE,0x5dbe296f97b23c4a6aa6183d73e574d02ba5c719,1,2018-03-13,2018-03-30,17,897,x,x,,x,11,3,1,2018-09-26,x,,
PLAYGAME,0x47e67ba66b0699500f18a53f94e2b9db3d47437e,1,2018-07-05,2018-11-27,145,655,x,,,,53,0,0,2019-05-26,x,,
PLAYKEY,0x2604fa406be957e542beb89e6754fcde6815e83f,1,2017-10-31,2017-11-01,1,1046,x,,,,20,2,0,2018-04-30,x,x,x
POLYBIUS,0x0affa06e7fbe5bc9a764c979aa66e8256a631f02,1,2017-05-23,2017-06-02,10,1198,x,,,,12,0,0,2017-11-29,,x,x
POLYMATH,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,0,2018-01-29,2018-01-31,2,955,,,202.0,,8,6,24,2018-07-30,,,
POPCHAIN,0xe3f4b4a5d91e5cb9435b947f090a319737036312,1,2018-05-01,2018-05-17,16,849,x,,,,40,0,0,2018-11-13,x,,
POSTOKEN,0xee609fe292128cad03b786dbb9bc2634ccdbe7fc,1,2017-09-14,2017-09-17,3,1091,x,,,,8,12,3,2018-03-16,x,,
POWERBANK,0x077dc3c0c9543df1cdd78386df3204e69e0dd274,1,2018-08-27,2018-10-19,53,694,,x,,,11,44,0,2019-04-17,x,,
POWERLEDGER,0x595832f8fc6bf59c85c527fec3740a1b7a361269,0,2017-06-03,2017-10-31,150,1047,,,167.0,x,25,7,0,2018-04-29,,,
PRESEARCH,0x88a3e4f35d64aad41a6d4030ac9afe4356cb84fa,0,2017-10-24,2017-10-25,1,1053,,,435.0,,10,2,0,2018-04-23,,,
PROJECTWITH,0xb7e77aebbe0687d2eff24cc90c41a3b6ea74bdab,1,2019-06-14,2019-06-19,5,451,x,,,,17,0,1,2019-12-16,,,
PROMETEUS,0xfc82bb4ba86045af6f327323a46e80412b91b27d,0,2019-05-19,2019-05-27,8,474,,,379.0,,2,4,65,2019-11-23,,,
PROMODL,0xaf47ebbd460f21c2b3262726572ca8812d7143b0,1,2018-10-12,2018-10-12,0,701,x,x,,x,92,0,0,2019-04-10,,,
PUNDIX,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0,2018-03-08,2018-03-20,12,907,,,151.0,x,12,13,0,2018-09-16,,,
QASH,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6,0,2017-10-10,2017-11-23,44,1024,,,284.0,,65,3,0,2018-05-22,,,
QRL,0x697beac28b09e122c4332d163985e8a73121b97f,1,2017-06-08,2017-06-10,2,1190,x,,,,22,0,0,2017-12-07,x,x,x
QUANT,0x4a220e6096b25eadb88358cb44068a3248254675,0,2018-06-25,2018-06-25,0,810,,,98.0,x,3,1,21,2018-12-22,,,
QUANTSTAMP,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,0,2017-11-17,2017-11-17,0,1030,,,258.0,,16,20,0,2018-05-16,,,
QUANTUMPAY,0xcd607fdd69931675f50ea43d3488785367322b4e,1,2018-06-07,2018-07-16,39,789,x,x,,x,34,0,31,2019-01-12,x,,
QUARKCHAIN,0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664,1,2018-06-02,2018-06-04,2,831,x,,,,47,7,0,2018-12-01,x,x,x
QUICKXPROTOCOL,0xf9e5af7b42d31d51677c75bbbd37c1986ec79aee,1,2019-01-22,2019-01-29,7,592,x,,,,11,37,0,2019-07-28,x,x,
RASPUTINONLINE,0x1bcbc54166f6ba149934870b60506199b6c9db6d,1,2017-07-05,2018-02-20,230,935,x,x,,x,99,0,0,2018-08-19,x,,
RCHAIN,0x168296bb09e24a88805cb9c33356536b980d3fc5,1,2017-03-20,2018-01-02,288,984,x,,,,12,2,27,2018-07-01,x,x,
REMICOIN,0x7dc4f41294697a7903c4027f6ac528c5d14cd7eb,1,2017-06-14,2017-10-05,113,1073,x,x,,x,24,0,0,2018-04-03,,,
REN,0x408e41876cccdc0f92210600ef50372656052a38,0,2017-12-31,2018-02-03,34,952,,,56.0,x,2,16,11,2018-08-02,,,
RENTBERRY,0x6aeb95f06cda84ca345c2de0f3b7f96923a44f4c,1,2018-03-19,2018-04-06,18,890,x,,,,9,32,2,2018-10-03,x,x,x
REPUX,0x4d305c2334c02e44ac592bbea681ba4cc1576de3,1,2018-02-23,2018-05-10,76,856,x,x,,x,0,0,2,2018-11-06,x,,
REQUESTNETWORK,0x8f8221afbb33998d8584a2b05749ba73c37a938a,0,2017-10-02,2017-10-13,11,1065,,,203.0,,2,19,17,2018-04-11,,,
