ico,adress,fraud,start_date,market_start_date,diff_days,market_days,size_ok,price,market_cap,o_concur,biggest_holder,exchange,contract,date_analysis,code,site,social_media
BITDEAL,0xaf9ce02409c5e1549a1637446035dab83ab8ae70,1,2018-05-21,2018-10-11,143,702,,x,,,33,0,0,2019-04-09,x,,
BITDEPOSITARY,0x033030feebd93e3178487c35a9c8ca80874353c9,1,2018-06-30,2018-10-18,110,695,x,,,,22,0,0,2019-04-16,,x,
BITFINEX,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,0,2019-05-21,2019-05-27,6,474,,,,,0,98,0,2019-11-23,,,
BLISSEXCHANGE,0x54bfd2c33b252f6c959688bb1ef2169a96dcee8f,1,2018-07-27,2018-07-29,2,776,x,x,,x,3,0,0,2019-01-25,x,,
BLOCKCAT,0x56ba2ee7890461f463f7be02aac3099f6d5811a8,1,2017-07-15,2017-08-19,35,1120,x,,,,10,0,20,2018-02-15,,x,
BLOCKMALL,0xd1af1a2bfe7285030b5bf1c173851fb732217706,1,2018-05-31,2018-06-01,1,834,,x,,,10,0,1,2018-11-28,,,
BLOCKMESH,0xf03045a4c8077e38f3b8e2ed33b8aee69edf869f,1,2018-02-23,2018-04-03,39,893,,,,,50,9,0,2018-09-30,,x,x
BLUZELLE,0x5732046a883704404f284ce41ffadd5b007fd668,0,2018-01-15,2018-01-19,4,967,,,191.0,x,52,21,0,2018-07-18,,,
BREAD,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,0,2017-12-16,2017-12-16,0,1001,,,369.0,,4,37,25,2018-06-14,,,
BUDBO,0xccbf21ba6ef00802ab06637896b799f7101f54a2,1,2018-03-13,2018-03-13,0,914,x,,,,31,3,0,2018-09-09,,x,x
CAPPASITY,0x04f2e7221fdb1b52a68169b25793e51478ff0329,1,2017-12-04,2017-12-29,25,988,x,,,,6,10,17,2018-06-27,x,x,x
CARNOMIC,0x2e0c40beb655a988e087ad71ca191a2806ac55ef,1,2019-05-23,2019-07-15,53,425,,x,,,92,5,0,2020-01-11,,x,
CARTESI,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0,2020-04-20,2020-05-22,32,113,,,323.0,,5,10,25,2020-11-18,,,
CCECOIN,0x1dacefe4f8eedef2524fa729f563a86695b8888e,1,2018-05-05,2019-06-07,398,463,x,x,,x,84,0,0,2019-12-04,,,
CELER,0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,0,2019-03-19,2019-03-25,6,537,,,196.0,x,25,20,1,2019-09-21,,,
CELSIUS,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0,2018-04-11,2018-04-18,7,878,,,69.0,x,26,8,0,2018-10-15,,,
CHAINLINK,0x514910771af9ca656af840dff83e8264ecf986ca,0,2017-09-16,2017-09-20,4,1088,,,9.0,x,5,5,35,2018-03-19,,,
CHANGENOW,0xe9a95d175a5f4c9369f3b74222402eb1b837693b,1,2018-05-21,2018-08-18,89,756,x,,,,50,0,0,2019-02-14,x,x,x
CINDICATOR,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,0,2017-09-09,2017-09-22,13,1086,,,260.0,,1,27,0,2018-03-21,,,
CIVIC,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0,2017-07-12,2017-07-16,4,1154,,,247.0,,6,9,33,2018-01-12,,,
CLEARCOIN,0x1e26b3d07e57f453cae30f7ddd2f945f5bf3ef33,1,2018-05-29,2018-06-01,3,834,x,x,,,1,2,29,2018-11-28,x,x,
CLOUDWITHME,0xc3951d77737733174152532e8b0f27e2c4e9f0dc,1,2017-08-30,2017-09-02,3,1106,x,,,,13,6,0,2018-03-01,x,x,x
CNNS,0x6c3be406174349cfa4501654313d97e6a31072e1,0,2019-04-02,2019-04-16,14,515,,,421.0,,40,4,0,2019-10-13,,,
COCOS,0x0c6f5f7d555e7518f6841a79436bd2b1eef03381,0,2019-08-14,2019-08-20,6,389,,,305.0,,14,0,75,2020-02-16,,,
COFOUND,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,1,2017-06-09,2017-06-09,0,1191,x,,,,89,3,0,2017-12-06,,,
COMPOUND,0xc00e94cb662c3520282e6f5717214004a7f26888,0,2020-03-04,2020-06-15,103,89,,,34.0,,7,1,40,2020-12-12,,,
CONFIDO,0x14839bf22810f09fb163af69bd21bd5476f445cd,1,2017-11-07,2017-11-07,0,1040,x,x,,x,30,28,3,2018-05-06,,,
CONTENTOS,0x589891a198195061cb8ad1a75357a3b7dbadd7bc,0,2018-06-13,2018-07-16,33,789,,,224.0,,4,5,85,2019-01-12,,,
COTI,0xddb3422497e61e13543bea06989c0789117555c5,0,2019-06-27,2020-02-25,243,200,,,199.0,,1,26,32,2020-08-23,,,
CREDITS,0x46b9ad944d1059450da1163511069c718f699d31,1,2018-02-17,2018-02-18,1,937,x,,,,37,0,8,2018-08-17,,x,x
CRYPTERIUM,0x80a7e048f37a50500351c204cb407766fa3bae7f,1,2017-11-07,2017-12-31,54,986,x,,,,9,8,6,2018-06-29,,x,x
CRYPTO20,0x26e75307fc0c021472feb8f727839531f112f317,0,2018-01-15,2018-01-22,7,964,,,229.0,,21,0,0,2018-07-21,,,
CRYPTOCOM,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0,2018-11-14,2018-12-12,28,640,,,11.0,x,0,3,20,2019-06-10,,,
CRYPTONIAPOKER,0x0809bd190c94f4408e691c410e67bff0df5d225d,1,2018-04-03,2018-05-19,46,847,x,x,,x,18,31,0,2018-11-15,x,,
CRYPTONITY,0xec8b363164cf453bdaadfad4094b566dada41f4d,1,2018-10-29,2019-01-22,85,599,x,x,,x,39,0,1,2019-07-21,,,
CRYPTORYIA,0xf75fbfa2f681860b9a6d19fc3ff3d34cb322e2d6,1,2018-03-28,2019-01-19,297,602,,x,,,89,0,0,2019-07-18,x,x,
CYBERMILES,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f,0,2017-12-05,2017-12-05,0,1012,,,333.0,,20,26,0,2018-06-03,,,
CYBERMOVIECHAIN,0x7abc60b3290f68c85f495fd2e0c3bd278837a313,1,2018-09-08,2018-09-27,19,716,x,x,,x,17,42,0,2019-03-26,x,,
DAPSCOIN,0x93190dbce9b9bd4aa546270a8d1d65905b5fdd28,1,2018-06-29,2018-09-24,87,719,x,x,,,45,0,41,2019-03-23,x,x,x
DEBITCOIN,0x95408930d6323ac7aa69e6c2cbfe58774d565fa8,1,2017-07-14,2017-08-02,19,1137,x,,,,77,0,0,2018-01-29,x,,
DECENTRALAND,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,2017-09-06,2017-09-15,9,1093,,,105.0,x,3,5,10,2018-03-14,,,
DECENTRALIZEDID,0x315970be5a362fc89ab4240c52a78043211fff1e,1,2017-12-26,2018-01-14,19,972,x,x,,x,91,0,0,2018-07-13,,,
DECENTURION,0x0ce6d5a093d4166237c7a9ff8e0553b0293214a1,1,2018-05-13,2018-05-14,1,852,x,,,,66,0,29,2018-11-10,,,
DIAM,0x588a8c163688efa1f33814693ea27d0c3867d5e9,1,2019-04-04,2019-06-25,82,445,x,x,,,99,0,0,2019-12-22,,x,
DIGITEXFUTURES,0x1c83501478f1320977047008496dacbd60bb15ef,1,2018-01-15,2018-01-15,0,971,x,,,,6,7,6,2018-07-14,x,x,x
DMARKET,0x2ccbff3a042c68716ed2a2cb0c544a9f1d1935e1,0,2017-12-14,2017-12-19,5,998,,,378.0,,38,4,0,2018-06-17,,,
DRAGONCHAIN,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,0,2017-12-01,2017-12-01,0,1016,,,249.0,,11,6,0,2018-05-30,,,
DROPIL,0x4672bad527107471cb5067a887f4656d585a8a31,1,2018-01-19,2018-03-11,51,916,x,x,,,10,20,0,2018-09-07,,x,
DUSKNET,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551,0,2018-12-11,2019-07-22,223,418,,,209.0,,39,16,10,2020-01-18,,,
DWS,0xf4b54874cd8a6c863e3a904c18fda964661ec363,1,2018-05-28,2018-05-29,1,837,x,x,,x,40,1,0,2018-11-25,,,
DXCHAIN,0x973e52691176d36453868d9d86572788d27041a9,0,2018-07-07,2018-08-04,28,770,,,80.0,x,45,0,0,2019-01-31,,,
EGRETIA,0x8e1b448ec7adfc7fa35fc2e885678bd323176e34,0,2018-05-26,2018-06-26,31,809,,,432.0,,27,14,0,2018-12-23,,,
EIDOO,0xced4e93198734ddaff8492d525bd258d49eb388e,0,2017-10-02,2017-10-03,1,1075,,,,,21,15,5,2018-04-01,,,
EMPOWR,0xe7d7b37e72510309db27c460378f957b1b04bd5d,1,2018-04-05,2018-04-21,16,875,x,x,,x,20,0,3,2018-10-18,,,
ENIGMA,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,0,2017-10-12,2017-10-12,0,1066,,,228.0,,5,12,0,2018-04-10,,,
ENJIN,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,0,2017-10-02,2017-10-02,0,1076,,,59.0,x,1,18,6,2018-03-31,,,
ENTERCOIN,0xd9d01d4cb824219a8f482a0fad479cb971fd0628,1,2018-09-02,2018-12-01,90,651,x,,,,80,2,0,2019-05-30,,x,
ENVION,0xd780ae2bf04cd96e577d3d014762f831d97129d0,1,2018-01-31,2018-01-31,0,955,x,,,,6,0,0,2018-07-30,x,,
EOS,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0,2017-06-20,2017-07-01,11,1169,,,12.0,x,7,7,0,2017-12-28,,,
ERNTOKEN,0xfbdb4f34608da96196a0eaebb72e7c13dc2c8058,1,2018-06-02,2018-06-11,9,824,,x,,,98,0,0,2018-12-08,,x,
ETHEERA,0x9195e00402abe385f2d00a32af40b271f2e87925,1,2018-02-10,2018-08-24,195,750,x,x,,x,10,1,35,2019-02-20,x,,
ETHERDIAMOND,0x2773c69d7a7e2943f6e27c9947d5ae4e2b853993,1,2018-11-12,2018-12-02,20,650,x,x,,x,19,0,0,2019-05-31,,,
ETHEREUMDARK,0xdbfb423e9bbf16294388e07696a5120e4ceba0c5,1,2017-10-11,2017-11-11,31,1036,,x,,,39,0,1,2018-05-10,x,x,
ETHEREUMCASHPRO,0x945f171de4ea81a213dcc7a1e8c4f6feb3b4b806,1,2018-09-12,2018-10-08,26,705,x,x,,x,32,0,0,2019-04-06,x,,
ETHERNETCASH,0x039f5050de4908f9b5ddf40a4f3aa3f329086387,1,2018-04-28,2018-05-26,28,840,x,x,,x,26,0,0,2018-11-22,x,,
EVEREX,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0,2017-09-29,2017-10-03,4,1075,,,344.0,,9,31,0,2018-04-01,,,
EXIMCHAIN,0x00c4b398500645eb5da00a1a379a88b11683ba01,1,2018-04-22,2018-04-22,0,874,x,x,,,50,0,0,2018-10-19,x,x,
FACEBLOCK,0xc0c2ee1ce1fed8f6e2764363a36db3dd4cf10022,1,2017-11-12,2017-11-14,2,1033,x,,,,30,0,29,2018-05-13,,x,
FANTOM,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0,2018-06-15,2018-06-15,0,820,,,172.0,x,3,23,2,2018-12-12,,,
FETCH,0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd,0,2018-10-08,2019-02-28,143,562,,,138.0,x,2,20,32,2019-08-27,,,
FIDELIUM,0x52fb36c83ad33c1824912fc81071ca5eeb8ab390,1,2018-03-27,2018-03-27,0,900,,,,,38,1,0,2018-09-23,,,
FITROVA,0x48df4e0296f908ceab0428a5182d19b31fc037d6,1,2018-02-17,2018-05-14,86,852,x,x,,,10,12,1,2018-11-10,,,
FLIK,0x17fd666fa0784885fa1afec8ac624d9b7e72b752,1,2017-08-17,2017-10-10,54,1068,,,,,3,0,86,2018-04-08,,,
FORCEPROTOCOL,0x1fcdce58959f536621d76f5b7ffb955baa5a672f,0,2018-11-14,2019-04-21,158,510,,,334.0,,17,9,0,2019-10-18,,,
FOXTRADING,0xfbe878ced08132bd8396988671b450793c44bc12,1,2018-03-12,2018-06-12,92,823,x,,,,10,22,0,2018-12-09,,x,
FREECOIN,0x2f141ce366a2462f02cea3d12cf93e4dca49e4fd,1,2018-04-05,2018-07-31,117,774,x,x,,,5,7,0,2019-01-27,,x,
FRUITIONTOKEN,0x3800e575cd4e197077f17f0f98b2f5ab892c2833,1,2018-06-11,2018-07-21,40,784,x,x,,x,13,0,74,2019-01-17,x,,
FUSION,0xd0352a019e9ab9d757776f532377aaebd36fd541,0,2018-01-31,2018-02-11,11,944,,,242.0,,2,0,0,2018-08-10,,,
FUTURAX,0x41875c2332b0877cdfaa699b641402b7d4642c32,1,2018-08-12,2018-08-14,2,760,x,x,,x,12,21,27,2019-02-10,,,
GADIUNTRUSTWALLET,0xaa10481f5d50ab16355f17ab3fb5309f2ac68037,1,2018-11-08,2018-11-10,2,672,x,x,,x,40,0,0,2019-05-09,x,,
GENESISVISION,0x103c3a209da59d3e7c4a89307e66521e081cfdf0,0,2017-10-15,2017-10-15,0,1063,,,427.0,,1,44,0,2018-04-13,,,
GETMODER,0x0f4315934eb9ebe33c602e2726ffe0cda9e6dc83,1,2018-03-14,2018-05-26,73,840,,x,,,31,0,0,2018-11-22,,x,
GIFTO,0xc5bbae50781be1669306b9e001eff57a2957b09d,0,2017-12-13,2017-12-18,5,999,,,372.0,,17,9,30,2018-06-16,,,
GIMLI,0xae4f56f072c34c0a65b3ae3e4db797d831439d93,1,2017-09-17,2017-10-28,41,1050,x,,,,26,0,15,2018-04-26,,x,
GONETWORK,0x423b5f62b328d0d6d44870f4eee316befa0b2df5,1,2018-04-16,2018-07-04,79,801,x,,,,3,4,28,2018-12-31,,x,
GRAPHGRAIL,0xf207ccfe6d1b90b0b7817ce2d5d262af1514e37b,1,2017-09-28,2018-05-24,238,842,x,x,,x,88,0,0,2018-11-20,x,,
HARMONY,0x799a4202c12ca952cb311598a024c80ed371a41e,1,2019-09-06,2019-10-11,35,337,,,,,99,0,0,2020-04-08,,,
HERONODE,0x491c9a23db85623eed455a8efdd6aba9b911c5df,1,2018-04-17,2018-04-22,5,874,x,x,,x,30,0,2,2018-10-19,,,
HIGHREWARDCOIN,0xfbbc46458c53154c0d1b45c801c28a99f95fa709,1,2018-01-20,2018-03-11,50,916,x,x,,x,21,0,26,2018-09-07,,,
HOLO,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,0,2018-04-29,2018-04-29,0,867,,,75.0,x,4,28,0,2018-10-26,,,
HONEYSHARECOIN,0xe65187c0e821c48c4824ac8f5c5fd4f203464df9,1,2018-09-10,2018-10-01,21,712,,x,,,83,0,0,2019-03-30,,,
HUOBI,0x6f259637dcd74c767781e37bc6133cd6a68aa161,0,2018-01-31,2018-02-01,1,954,,,21.0,x,38,0,0,2018-07-31,,,
HYPETOKEN,0x2630997aab62fa1030a8b975e1aa2dc573b18a13,1,2019-07-20,2019-07-21,1,419,x,x,,,69,0,0,2020-01-17,,,
ICON,0xb5a5f22694352c15b00323844ad545abb2b11028,0,2017-09-19,2017-09-20,1,1088,,,52.0,x,44,0,0,2018-03-19,,,
IFAN,0xae84013bb37ef96abe16f5017a50c1e4d870a331,1,2017-11-19,2018-01-25,67,961,x,x,,,80,0,0,2018-07-24,,x,
IMMVRSE,0x7878424e994d8a2b8e329d31096922b7ceabe660,1,2018-09-13,2018-09-29,16,714,x,x,,x,59,0,0,2019-03-28,x,,
